_nvars = 5948

_snvars = 4884

_ncons = 23935

_sncons = 17909

_nobjs = 1

solve_result = solved

WO = 0

Sum_WSn_PR = 273.46

Sum_WSn_PR_LEX2 = 273.46

Sum_WSn = 273.46

Zp = 0

Zn = 273.46

Z_LEX3p = 0

Z_LEX3n = 0

_solve_elapsed_time = 510.156

solve_message = 'CPLEX 22.1.1.0: optimal integer solution; objective -273.46\
7624093 MIP simplex iterations\
5212 branch-and-bound nodes'

_solve_time = 1929.76

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   1   0   0   0
2    0   0   0   0   0   0   1   0   0   0
3    0   0   0   0   0   0   1   0   0   0
4    0   0   0   0   0   0   1   0   0   0
5    0   0   0   0   0   0   1   0   0   0
6    0   0   1   0   0   0   1   0   0   0
7    0   0   1   0   0   0   0   0   0   0
8    0   0   1   0   0   0   0   0   0   0
9    0   0   1   0   0   0   1   0   0   0
10   0   0   1   0   0   0   1   0   0   0
11   0   0   1   0   0   0   1   0   0   0
12   0   0   0   0   0   0   1   0   0   0
13   0   0   0   0   0   0   1   0   0   0
14   0   0   0   1   0   0   1   0   0   0
15   0   0   0   1   0   0   0   0   0   0
16   0   0   0   1   0   0   0   0   0   0
17   0   0   1   1   0   0   0   0   0   0
18   0   0   1   1   0   0   0   0   0   0
19   0   0   1   1   0   1   0   0   0   0
20   0   0   1   0   0   1   0   0   0   0
21   0   0   1   0   0   1   0   0   0   0
22   0   0   1   0   0   1   0   0   0   0
23   0   0   0   1   0   1   0   0   0   0
24   0   0   0   1   0   1   0   0   0   0
25   0   0   0   1   0   0   0   0   0   0
26   0   0   0   1   0   0   0   0   0   0
27   0   0   0   1   0   1   1   0   0   0
28   0   0   0   1   0   1   1   0   0   0
29   0   0   0   0   0   1   1   0   0   0
30   0   0   0   0   0   1   1   0   0   0
31   0   0   0   0   0   1   1   1   0   0
32   0   0   0   0   0   1   1   1   0   0
33   0   1   0   0   0   0   0   1   0   0
34   0   1   0   0   0   0   0   1   1   0
35   0   1   0   0   0   0   0   1   1   0
36   0   1   0   0   0   0   0   1   1   0
37   0   1   0   0   0   0   0   1   1   0
38   0   1   0   0   0   0   0   1   1   0
39   0   1   0   0   0   0   0   1   1   0
40   0   1   0   0   0   0   0   1   1   0
41   0   1   0   0   0   0   0   1   1   0
42   0   1   0   0   0   0   0   1   1   0
43   0   1   0   0   0   0   0   0   1   0
44   0   1   0   0   0   0   0   0   1   0
45   0   0   0   0   0   0   0   0   1   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   1
2    0   0   0   0   0   0   0   0   0   1
3    0   0   0   0   0   0   0   0   0   1
4    0   0   0   0   0   0   0   0   0   1
5    0   0   0   0   0   0   0   0   0   1
6    0   0   0   0   0   0   0   0   0   1
7    0   0   0   0   0   0   0   0   0   1
8    0   0   0   0   0   0   0   0   0   1
9    0   0   0   0   0   0   0   0   0   1
10   0   0   0   0   0   0   0   0   0   1
