_nvars = 5948

_snvars = 5675

_ncons = 24141

_sncons = 21676

_nobjs = 1

solve_result = solved

WO = 635511

Sum_WSn_PR = 253.47

Sum_WSn_PR_LEX2 = 253.47

Sum_WSn = 253.47

Zp = 0

Zn = 253.47

Z_LEX3p = 0

Z_LEX3n = 253.47

_solve_elapsed_time = 1761.35

solve_message =
'CPLEX 22.1.1.0: optimal integer solution within mipgap or absmipgap; objective 635511\
19992458 MIP simplex iterations\
30070 branch-and-bound nodes\
absmipgap = 63.5232, relmipgap = 9.99561e-05\
No basis.'

_solve_time = 7007.98

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    1   0   0   0   0   0   0   0   0   0
2    1   0   0   0   0   0   0   0   0   0
3    1   0   0   0   0   0   0   0   0   0
4    1   0   0   0   0   0   0   0   0   0
5    1   0   0   1   0   0   0   0   0   0
6    1   0   0   1   0   0   0   0   0   0
7    0   0   0   1   0   0   0   0   0   0
8    0   0   0   1   0   0   0   0   0   0
9    1   0   0   1   0   0   0   0   0   0
10   1   0   0   1   0   0   0   0   0   0
11   1   0   0   0   0   0   0   0   0   0
12   1   0   0   0   0   0   0   0   0   0
13   1   0   0   1   0   0   0   0   0   0
14   1   0   0   1   0   0   0   0   0   0
15   0   0   0   1   0   0   0   0   0   0
16   0   0   0   1   0   0   0   0   0   0
17   1   0   0   1   0   0   0   0   0   0
18   1   0   0   1   0   0   0   0   0   0
19   1   0   0   0   0   0   0   0   0   0
20   1   0   0   0   0   1   0   0   0   0
21   1   0   0   0   0   1   0   0   0   0
22   1   0   0   1   0   1   0   0   0   0
23   0   0   0   1   0   1   0   0   0   0
24   0   0   0   1   0   1   0   0   0   0
25   0   0   0   1   0   1   0   0   0   0
26   0   0   0   1   0   0   0   0   0   0
27   1   0   0   1   0   0   0   0   0   0
28   1   0   0   0   0   0   0   0   0   0
29   1   0   0   0   0   0   0   0   0   0
30   1   0   0   0   0   0   0   0   0   0
31   1   0   0   0   0   0   0   0   0   0
32   1   0   0   0   0   1   0   0   0   0
33   0   0   0   0   0   1   0   0   0   0
34   0   0   0   0   0   1   0   0   0   0
35   0   0   0   1   0   1   0   0   0   0
36   0   0   0   1   0   1   0   0   0   0
37   0   0   0   1   0   1   0   0   0   0
38   0   0   0   1   0   0   0   0   0   0
39   0   0   0   1   0   0   0   0   0   0
40   0   0   0   1   0   1   0   0   0   0
41   0   0   0   0   0   1   0   0   0   0
42   0   0   0   0   0   1   0   0   0   0
43   0   0   0   0   0   1   0   0   0   0
44   0   0   0   0   0   1   0   0   0   0
45   0   0   0   0   0   1   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   1   0   0   0   0   0   0   0
2    0   0   1   0   0   0   0   0   0   0
3    0   0   1   0   0   0   0   0   0   0
4    0   0   1   0   0   0   0   0   0   0
5    0   0   1   0   1   0   0   0   0   0
6    0   0   1   0   1   0   0   0   0   0
7    0   0   0   0   1   0   0   0   0   0
8    0   0   0   0   1   0   0   0   0   0
9    0   0   1   0   1   0   0   0   0   0
10   0   0   1   0   1   0   0   0   0   0
11   0   0   1   0   0   0   0   0   0   0
12   0   0   1   0   0   0   0   0   0   0
13   0   0   1   0   1   0   0   0   0   0
14   0   0   1   0   1   0   0   0   0   0
15   0   0   0   0   1   0   0   0   0   0
16   0   0   0   0   1   0   0   0   0   0
17   0   0   1   0   1   0   0   0   0   0
18   0   0   1   0   1   0   0   0   0   0
19   0   0   1   0   0   0   0   0   0   0
20   0   0   1   0   0   0   1   0   0   0
21   0   0   1   0   0   0   1   0   0   0
22   0   0   1   0   0   0   1   0   0   0
23   0   0   0   0   1   0   1   0   0   0
24   0   0   0   0   1   0   1   0   0   0
25   0   0   0   0   1   0   1   0   0   0
26   0   0   0   0   1   0   0   0   0   0
27   0   0   1   0   1   0   0   0   0   0
28   0   0   1   0   1   0   0   0   0   0
29   0   0   1   0   0   0   0   0   0   0
30   0   0   1   0   0   0   0   0   0   0
31   0   0   1   0   0   0   0   0   0   0
32   0   0   1   0   0   0   1   0   0   0
33   0   0   0   0   0   0   1   0   0   0
34   0   0   0   0   0   0   1   0   0   0
35   0   0   0   0   1   0   1   0   0   0
36   0   0   0   0   1   0   1   0   0   0
37   0   0   0   0   1   0   1   0   0   0
38   0   0   0   0   1   0   0   0   0   0
39   0   0   0   0   1   0   0   0   0   0
40   0   0   0   0   1   0   1   0   0   0
41   0   0   0   0   0   0   1   0   0   0
42   0   0   0   0   0   0   1   0   0   0
43   0   0   0   0   0   0   1   0   0   0
44   0   0   0   0   0   0   1   0   0   0
45   0   0   0   0   0   0   1   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   1   0   0   0   0   0   1   0   0
2    0   1   0   0   0   0   0   1   0   0
3    0   1   0   0   0   0   0   1   0   0
4    0   1   0   0   0   0   0   1   0   0
5    0   1   0   0   0   0   0   1   0   0
6    0   1   0   0   0   0   0   1   0   0
7    0   1   0   0   0   0   0   1   0   0
8    0   1   0   0   0   0   0   1   0   0
9    0   1   0   0   0   0   0   1   0   0
10   0   1   0   0   0   0   0   1   0   0
11   0   1   0   0   0   0   0   1   0   0
12   0   1   0   0   0   1   1   1   0   0
13   0   0   0   0   0   1   1   0   0   0
14   0   0   0   0   0   1   1   0   0   0
15   0   0   0   0   0   1   1   0   0   0
16   0   0   0   0   0   1   1   0   1   0
17   0   0   0   0   0   1   1   0   1   0
18   0   0   0   0   0   0   0   0   1   1
19   0   0   0   0   0   0   0   0   1   1
20   0   0   0   0   0   0   0   0   1   1
21   0   0   0   0   0   0   0   0   1   1
22   0   0   0   0   0   0   0   0   1   1
23   0   0   0   0   0   0   0   0   1   1
24   0   0   0   0   0   0   0   0   1   1
25   0   0   0   0   0   0   0   1   1   1
26   0   0   0   0   0   0   0   1   1   1
27   0   0   0   0   0   0   0   1   1   1
28   0   0   0   0   0   0   0   1   0   1
29   0   0   0   0   0   0   0   1   0   1
30   0   0   0   0   0   0   0   1   0   0
31   0   0   0   0   0   0   0   1   0   0
32   0   0   0   0   0   0   0   1   1   0
33   0   0   0   0   0   0   0   1   1   0
34   0   0   0   0   0   0   0   1   1   1
35   0   0   0   0   0   0   0   1   1   1
36   0   0   0   0   0   0   0   1   1   1
37   0   0   0   0   0   0   0   0   1   1
38   0   0   0   0   0   0   0   0   1   1
39   0   0   0   0   0   0   0   0   1   1
40   0   0   0   0   0   0   0   0   1   1
41   0   0   0   0   0   0   0   0   1   1
42   0   0   0   0   0   0   0   0   1   1
43   0   0   0   0   0   0   0   0   1   1
44   0   0   0   0   0   0   0   0   0   1
45   0   0   0   0   0   0   0   0   0   1
;

c [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    1   0   0   0   0   0   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   1   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    1   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
13   0   0   0   1   0   0   0   0   0   0
14   0   0   0   0   0   0   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   0   0   0   0   0   0   0   0
17   1   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   0   0   0   0
20   0   0   0   0   0   1   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   1   0   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   0   0   0   0   0
27   1   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   0   0   0   0   1   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   0   0   1   0   0   0   0   0   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   1   0   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
