WO = 754647

Sum_WSn = 1536.68

Zp = 0

Zn = 889.9

_solve_time = 54458.2

solve_message =
'CPLEX 20.1.0.0: time limit with integer solution; objective -15366888910\
57667318 MIP simplex iterations\
14391 branch-and-bound nodes\
absmipgap = 1.53669e+10, relmipgap = 1'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   1   0   0
2    0   0   0   0   0   0   0   1   0   0
3    0   0   0   0   0   0   0   1   0   0
4    0   0   0   0   0   0   0   1   0   0
5    0   0   0   0   0   0   0   1   0   0
6    0   0   0   0   0   0   0   1   0   0
7    0   0   0   0   0   0   0   1   0   0
8    0   0   0   0   0   0   0   1   0   0
9    0   0   0   0   0   0   0   1   0   0
10   0   1   0   0   0   0   0   1   0   0
11   0   1   0   0   0   0   0   1   0   0
12   0   1   0   0   0   0   0   1   0   0
13   0   1   0   0   0   0   0   0   0   0
14   0   1   0   0   0   0   0   0   0   0
15   0   1   0   0   0   0   0   0   0   0
16   0   1   0   0   0   0   0   0   0   0
17   0   1   0   0   0   0   0   1   1   0
18   0   1   0   0   0   0   0   1   1   0
19   0   1   0   0   0   0   0   1   1   0
20   0   1   0   0   0   0   0   1   1   0
21   0   1   0   0   0   0   0   1   1   0
22   0   0   0   0   0   0   0   1   1   0
23   0   0   0   0   0   0   0   1   1   0
24   0   0   0   0   0   0   0   1   1   0
25   0   0   0   0   0   0   0   1   1   0
26   0   1   0   0   0   0   0   1   1   0
27   0   1   0   0   0   0   0   1   1   0
28   0   1   0   0   0   0   0   1   1   0
29   0   1   0   0   0   0   0   0   0   1
30   0   1   0   0   0   0   0   0   0   1
31   0   1   0   0   0   0   0   0   0   1
32   0   1   0   0   0   0   0   0   0   1
33   0   1   0   0   0   0   0   0   0   1
34   0   1   0   0   0   0   0   0   0   1
35   0   1   0   0   0   0   0   0   0   1
36   0   1   0   0   0   0   0   0   0   1
37   0   1   0   0   0   0   0   0   0   1
38   0   0   0   0   0   0   0   0   0   1
39   0   0   0   0   0   0   0   0   0   1
40   0   0   0   0   0   0   1   0   0   1
41   0   0   0   0   0   0   1   0   0   0
42   0   0   0   0   0   0   1   0   0   0
43   0   0   0   0   0   0   1   0   0   0
44   0   0   0   0   0   0   1   0   0   0
45   0   0   0   0   0   0   1   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   1   0
2    0   0   0   0   0   0   0   0   1   0
3    0   0   0   0   0   0   0   0   1   0
4    0   0   0   0   0   0   0   0   1   0
5    0   0   0   0   0   0   0   0   1   0
6    0   0   0   0   0   0   0   0   1   0
7    0   0   0   0   0   0   0   0   1   0
8    0   0   0   0   0   0   0   0   1   0
9    0   0   0   0   0   0   0   0   1   1
10   0   0   0   0   0   0   0   0   1   1
11   0   0   0   0   0   0   0   0   1   1
12   0   0   0   0   0   0   0   0   1   1
13   0   0   0   0   0   0   0   0   0   1
14   0   0   0   0   0   0   0   0   0   1
15   0   0   0   0   0   0   0   0   0   1
16   0   0   0   0   0   0   0   0   0   1
17   0   0   0   0   0   0   0   0   0   1
18   0   0   0   0   0   0   0   0   0   1
19   0   0   0   0   0   0   0   0   0   1
20   0   0   0   0   0   0   1   0   0   1
21   0   0   0   0   0   0   1   0   0   0
22   0   0   0   0   0   0   1   0   0   0
23   0   0   0   0   0   0   1   0   0   0
24   0   0   0   0   0   0   1   0   0   0
25   0   0   0   0   1   0   1   0   0   0
26   0   0   0   0   1   0   0   0   0   0
27   0   0   0   0   1   0   0   0   0   0
28   0   0   0   1   1   0   0   0   0   0
29   1   0   0   1   1   0   0   0   0   0
30   1   0   0   1   1   0   0   0   0   0
31   1   0   0   1   0   0   0   0   0   0
32   1   0   1   1   0   0   0   0   0   0
33   1   0   1   1   0   0   0   0   0   0
34   1   0   1   0   0   0   0   0   0   0
35   0   0   1   0   0   0   0   0   0   0
36   0   0   1   1   0   0   0   0   0   0
37   0   0   1   1   0   0   0   0   0   0
38   0   0   0   1   0   0   0   0   0   0
39   0   0   0   1   0   0   0   0   0   0
40   0   0   1   1   0   0   0   0   0   0
41   0   0   1   1   0   0   0   0   0   0
42   0   0   1   0   0   0   0   0   0   0
43   0   0   1   0   0   0   0   0   0   0
44   0   0   1   0   0   0   0   0   0   0
45   0   0   1   0   0   0   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   1   0   0   0   0
2    0   0   0   0   0   1   0   0   0   0
3    0   0   0   0   0   1   0   0   0   0
4    0   0   0   0   0   1   0   0   0   0
5    0   0   0   0   1   1   0   0   0   0
6    0   0   0   0   1   1   0   0   0   0
7    0   0   0   0   1   0   0   0   0   0
8    0   0   0   0   1   0   0   0   0   0
9    0   0   0   1   1   1   0   0   0   0
10   1   0   1   1   1   1   1   0   0   0
11   1   0   1   1   0   1   1   0   0   0
12   1   0   1   1   0   1   1   0   0   0
13   1   0   1   1   0   1   1   0   0   0
14   1   0   1   1   0   1   1   0   0   0
15   1   0   1   0   1   0   1   0   0   0
16   0   0   0   0   1   0   0   0   0   0
17   0   0   0   0   1   1   0   0   0   0
18   0   0   0   0   1   1   0   0   0   0
19   1   0   0   1   1   1   0   0   0   0
20   1   0   0   1   1   1   0   0   0   0
21   1   0   0   1   0   1   0   0   0   0
22   1   0   1   1   0   1   0   0   0   0
23   1   0   1   1   0   0   0   0   0   0
24   1   0   1   1   0   0   0   0   0   0
25   0   0   1   0   0   1   0   0   0   0
26   0   0   1   0   0   1   0   0   0   0
27   0   0   1   0   0   1   0   0   0   0
28   0   0   0   0   0   1   0   0   0   0
29   0   0   0   0   0   1   0   0   0   0
30   0   0   0   0   0   1   0   0   0   0
31   0   0   0   0   0   0   1   0   0   0
32   0   0   0   0   0   0   1   0   0   0
33   0   0   0   0   0   0   1   0   0   0
34   0   0   0   0   0   0   1   0   0   0
35   0   0   0   0   1   0   1   0   0   0
36   0   0   0   0   1   0   1   0   0   0
37   0   0   0   0   1   0   0   0   0   0
38   0   0   0   0   1   0   0   0   0   0
39   0   0   0   0   1   0   0   0   0   0
40   1   0   0   0   1   0   0   0   0   0
41   1   0   0   0   0   0   0   0   0   0
42   1   0   0   0   0   0   0   0   0   0
43   1   0   0   0   0   0   0   0   0   0
44   1   0   0   0   0   0   0   0   0   0
45   1   0   0   0   0   0   0   0   0   0
;

c [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   1   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   1   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
13   0   0   0   0   0   0   0   0   0   0
14   0   0   0   0   0   0   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   0   0   0   0   0   0   0   0
17   0   0   0   0   0   0   0   1   1   0
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   0   0   0   0
20   0   0   0   0   0   0   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   1   0   0   0   0   0   0   0   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   1
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   0   1   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   1   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   1
10   0   0   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
13   0   0   0   0   0   0   0   0   0   0
14   0   0   0   0   0   0   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   0   0   0   0   0   0   0   0
17   0   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   0   0   0   0
20   0   0   0   0   0   0   1   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   1   0   0   0   0   0
26   0   0   0   0   0   0   0   0   0   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   1   0   0   0   0   0   0
29   1   0   0   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   0   1   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   1   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   1   0   0   0   0   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   1   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   1   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   1   0   1   0   0   0   0
10   1   0   1   0   0   0   1   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
