WO = 663852

Sum_WSn = 255.46

Zp = 0

Zn = 205.09

_solve_time = 28411.3

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective -2554620443\
40757618 MIP simplex iterations\
24760 branch-and-bound nodes\
absmipgap = 33300.5, relmipgap = 1.30354e-05'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   1
2    0   0   0   0   0   0   0   0   0   1
3    0   0   0   0   0   0   0   0   0   1
4    0   0   0   0   0   0   0   0   0   1
5    0   0   0   0   0   0   0   0   0   1
6    0   1   0   0   0   0   0   0   0   1
7    0   1   0   0   0   0   0   0   0   1
8    0   1   0   0   0   0   0   0   0   1
9    0   1   0   0   0   0   0   0   0   1
10   0   1   0   0   0   0   0   0   0   1
11   0   1   0   0   0   0   0   0   0   1
12   0   1   0   0   0   0   0   0   0   1
13   0   1   0   0   0   0   0   0   1   0
14   0   1   0   0   0   0   0   0   1   0
15   0   1   0   0   0   0   0   0   1   0
16   0   1   0   0   0   0   0   0   1   0
17   0   1   0   0   0   0   0   0   1   1
18   0   0   0   0   0   0   0   0   1   1
19   0   0   0   0   0   0   0   1   1   1
20   0   0   0   0   0   0   0   1   1   1
21   0   0   0   0   0   0   0   1   1   1
22   0   0   0   0   0   0   0   1   1   1
23   0   0   0   0   0   0   0   1   1   1
24   0   0   0   0   0   0   0   1   1   1
25   0   0   0   0   0   0   0   1   0   1
26   0   0   0   0   0   0   0   1   0   1
27   0   0   0   0   0   0   0   1   0   1
28   0   0   0   0   0   0   0   1   0   1
29   0   0   0   0   0   1   0   1   0   0
30   0   0   0   0   0   1   1   1   0   0
31   0   0   0   0   1   1   1   0   0   0
32   0   0   0   0   1   1   1   0   0   0
33   0   0   0   0   1   1   1   0   0   0
34   0   0   0   0   1   1   1   0   0   0
35   0   0   1   0   1   0   1   0   0   0
36   0   0   1   0   1   0   0   0   0   0
37   0   0   1   0   0   0   0   0   0   0
38   0   0   1   0   0   0   0   0   0   0
39   0   0   1   0   0   0   0   0   0   0
40   0   0   1   0   0   1   0   0   0   0
41   0   0   0   0   0   1   0   0   0   0
42   0   0   0   0   0   1   0   0   0   0
43   0   0   0   0   0   1   0   0   0   0
44   0   0   0   0   0   1   0   0   0   0
45   0   0   0   0   0   1   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    1   0   0   0   0   0   0   0   0   0
2    1   0   0   0   0   0   0   0   0   0
3    1   0   0   0   0   0   0   0   0   0
4    1   0   0   0   0   0   0   0   0   0
5    1   0   0   0   0   0   0   0   0   0
6    1   0   0   1   0   0   0   0   0   0
7    0   0   0   1   0   0   0   0   0   0
8    0   0   0   1   0   0   0   0   0   0
9    0   0   0   1   0   0   0   0   0   0
10   1   0   0   1   0   0   0   0   0   0
11   1   0   0   1   0   0   0   0   0   0
12   1   0   0   0   0   0   0   0   0   0
13   1   0   1   0   0   0   0   0   0   0
14   1   0   1   0   0   0   0   0   0   0
15   1   0   1   0   0   0   0   0   0   0
16   0   0   1   0   0   0   0   0   0   0
17   0   0   1   1   0   0   0   0   0   0
18   0   0   1   1   0   0   0   0   0   0
19   0   0   0   1   0   0   0   0   0   0
20   0   0   0   1   0   0   0   0   0   0
21   0   0   0   1   0   0   0   0   0   0
22   0   0   0   1   0   0   1   0   0   0
23   0   0   0   0   0   0   1   0   0   0
24   0   0   0   0   0   0   1   0   0   0
25   0   0   0   0   0   0   1   0   0   0
26   0   1   0   0   0   0   1   0   0   0
27   0   1   0   0   0   0   1   0   0   0
28   0   1   0   0   0   0   0   0   0   0
29   0   1   0   0   0   0   0   0   0   0
30   0   1   0   0   0   0   0   0   0   0
31   0   1   0   0   0   0   0   0   0   0
32   0   1   0   0   0   0   0   0   0   0
33   0   1   0   0   0   0   0   0   0   0
34   0   1   0   0   0   0   0   0   1   0
35   0   1   0   0   0   0   0   0   1   0
36   0   1   0   0   0   0   0   0   1   0
37   0   1   0   0   0   0   0   0   1   0
38   0   0   0   0   0   0   0   0   1   0
39   0   0   0   0   0   0   0   0   1   0
40   0   0   0   0   0   0   0   0   1   0
41   0   0   0   0   0   0   0   0   1   0
42   0   0   0   0   0   0   0   0   1   0
43   0   0   0   0   0   0   0   0   1   0
44   0   0   0   0   0   0   0   0   1   0
45   0   0   0   0   0   0   0   0   1   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   1   0   0   0   0   0
2    0   0   0   0   1   0   0   0   0   0
3    0   0   0   0   1   0   0   0   0   0
4    0   0   0   0   1   0   0   0   0   0
5    0   0   1   0   1   0   0   0   0   0
6    0   0   1   0   1   0   0   0   0   0
7    0   0   1   0   0   0   0   0   0   0
8    0   0   1   0   0   0   0   0   0   0
9    0   0   1   0   1   0   0   0   0   0
10   0   0   1   0   1   0   0   0   0   0
11   0   0   0   0   1   1   0   0   0   0
12   0   0   0   0   1   1   0   0   0   0
13   0   0   0   0   1   1   0   0   0   0
14   0   0   0   0   1   1   1   0   0   0
15   0   0   0   0   0   1   1   0   0   0
16   0   0   0   0   0   1   1   0   0   0
17   0   0   0   0   1   0   1   0   0   0
18   0   0   0   0   1   0   1   0   0   0
19   1   0   0   0   1   1   1   0   0   0
20   1   0   0   0   1   1   0   0   0   0
21   1   0   0   0   1   1   0   0   0   0
22   1   0   1   0   1   1   0   0   0   0
23   1   0   1   0   0   1   0   0   0   0
24   1   0   1   0   0   1   0   0   0   0
25   0   0   1   0   0   0   0   0   0   0
26   0   0   1   1   0   0   0   0   0   0
27   0   0   1   1   0   0   0   0   0   0
28   0   0   0   1   0   0   0   0   0   0
29   0   0   0   1   0   0   0   0   0   0
30   0   0   0   1   0   0   0   0   0   0
31   1   0   0   1   0   0   0   0   0   0
32   1   0   0   0   0   0   0   0   0   0
33   1   0   0   0   0   0   0   0   0   0
34   1   0   0   0   0   0   0   0   0   0
35   1   0   0   0   0   0   0   0   0   0
36   1   0   0   1   0   0   0   0   0   0
37   0   0   0   1   0   0   0   0   0   0
38   0   0   0   1   0   0   0   0   0   0
39   0   0   0   1   0   0   0   0   0   0
40   0   0   0   1   0   0   1   0   0   0
41   0   0   0   1   0   0   1   0   0   0
42   0   0   0   0   0   0   1   0   0   0
43   0   0   0   0   0   0   1   0   0   0
44   0   0   0   0   0   0   1   0   0   0
45   0   0   0   0   0   0   1   0   0   0
;

c [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   1
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   1   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
13   0   0   0   0   0   0   0   0   1   0
14   0   0   0   0   0   0   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   0   0   0   0   0   0   0   0
17   0   0   0   0   0   0   0   0   0   1
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   0   1   0   0
20   0   0   0   0   0   0   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   0   0   0   0   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   1   0   0   0   0
30   0   0   0   0   0   0   1   0   0   0
31   0   0   0   0   1   0   0   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   0   1   0   0   0   0   0   0   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   1   0   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    1   0   0   0   0   0   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
